Experiment = FASERv2 | seed 1 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 200 cm | Total Events = 117382.5 |        del_theta = 1.0 mrad, theta_max = 463.6 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 5698.00 GeV|        del_Ehadron = 50.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 5698.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) / GeV^-2           N_events        N_events_errs = Sqrt[N_events]      N_sys_errs          MC_Samples 
4.520354e-03    6.210169e-03    5.322997e-03   4.000000e+00         1.000000e+01         6.418179e+00        1.133635e+01         5.698000e+03         1.341120e+03        1.338001e+00                                           1.728977e+02    1.314906e+01                       14.7389             8.608480e+05 
4.520354e-03    6.210169e-03    5.407081e-03   1.000000e+01         1.000000e+02         1.604036e+01        1.133635e+01         5.698000e+03         2.316489e+03        1.400724e+00                                           9.510113e+01    9.751981e+00                       11.3472             2.086700e+05 
6.210169e-03    8.531679e-03    7.413568e-03   4.000000e+00         1.000000e+01         6.511858e+00        1.133635e+01         5.698000e+03         1.132911e+03        9.109724e-01                                           2.419145e+02    1.555360e+01                       30.9302             8.944170e+05 
6.210169e-03    8.531679e-03    7.496538e-03   1.000000e+01         1.000000e+02         1.826609e+01        1.133635e+01         5.698000e+03         2.036289e+03        9.931965e-01                                           2.097794e+02    1.448376e+01                       39.8398             3.214650e+05 
8.531679e-03    1.172102e-02    1.012632e-02   4.000000e+00         1.000000e+01         6.649182e+00        1.133635e+01         5.698000e+03         1.027773e+03        7.837644e-01                                           3.777537e+02    1.943589e+01                       7.34189             9.189720e+05 
8.531679e-03    1.172102e-02    1.023133e-02   1.000000e+01         1.000000e+02         2.104919e+01        1.133635e+01         5.698000e+03         1.817528e+03        8.615235e-01                                           4.783464e+02    2.187113e+01                       6.6715              4.715190e+05 
8.531679e-03    1.172102e-02    1.129851e-02   1.000000e+02         1.000000e+03         1.057740e+02        1.133635e+01         5.698000e+03         5.123749e+03        7.919048e-01                                           3.188021e-02    1.785503e-01                       0.0212535           6.200000e+02 
1.172102e-02    1.610262e-02    1.379680e-02   4.000000e+00         1.000000e+01         6.719359e+00        1.133635e+01         5.698000e+03         8.997454e+02        5.533842e-01                                           4.544796e+02    2.131853e+01                       23.4075             9.368450e+05 
1.172102e-02    1.610262e-02    1.392404e-02   1.000000e+01         1.000000e+02         2.417825e+01        1.133635e+01         5.698000e+03         1.630068e+03        5.917961e-01                                           8.026426e+02    2.833095e+01                       50.725              6.104270e+05 
1.172102e-02    1.610262e-02    1.473909e-02   1.000000e+02         1.000000e+03         1.096066e+02        1.133635e+01         5.698000e+03         4.457814e+03        5.238680e-01                                           1.573077e+00    1.254224e+00                       0.0374542           8.350000e+03 
1.610262e-02    2.212216e-02    1.910403e-02   4.000000e+00         1.000000e+01         6.784818e+00        1.133635e+01         5.698000e+03         7.976434e+02        3.375387e-01                                           4.769012e+02    2.183807e+01                       85.2303             9.473120e+05 
1.610262e-02    2.212216e-02    1.929993e-02   1.000000e+01         1.000000e+02         2.820125e+01        1.133635e+01         5.698000e+03         1.470837e+03        3.515492e-01                                           1.139539e+03    3.375706e+01                       252.814             7.120030e+05 
