Experiment = FASERv2 | seed 1 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 200 cm | Total Events = 117382.5 |        del_theta = 1.0 mrad, theta_max = 463.6 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 5698.00 GeV|        del_Ehadron = 50.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 5698.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) / GeV^-2           N_events        N_events_errs = Sqrt[N_events]      N_sys_errs          MC_Samples 
7.880463e-02    1.082637e-01    9.413473e-02   1.000000e+02         1.000000e+03         1.924090e+02        1.133635e+01         5.698000e+03         1.770585e+03        6.686057e-02                                           3.189815e+03    5.647845e+01                       175.792             4.320360e+05 
1.082637e-01    1.487352e-01    1.266554e-01   1.000000e+01         1.000000e+02         5.592184e+01        1.133635e+01         5.698000e+03         8.208522e+02        3.960669e-02                                           4.637925e+03    6.810231e+01                       568.954             7.915830e+05 
1.082637e-01    1.487352e-01    1.284390e-01   1.000000e+02         1.000000e+03         2.213177e+02        1.133635e+01         5.698000e+03         1.581784e+03        3.297354e-02                                           4.363183e+03    6.605440e+01                       55.5745             5.797060e+05 
1.082637e-01    1.487352e-01    1.374047e-01   1.000000e+03         1.000000e+04         1.096444e+03        1.133635e+01         5.698000e+03         4.686104e+03        2.359875e-02                                           3.007517e+00    1.734219e+00                       12.1615             5.248000e+03 
1.487352e-01    2.043360e-01    1.753040e-01   1.000000e+01         1.000000e+02         6.265866e+01        1.133635e+01         5.698000e+03         7.636576e+02        3.102300e-02                                           4.705815e+03    6.859894e+01                       935.374             7.055870e+05 
1.487352e-01    2.043360e-01    1.777301e-01   1.000000e+02         1.000000e+03         2.568358e+02        1.133635e+01         5.698000e+03         1.422389e+03        2.650901e-02                                           7.482406e+03    8.650090e+01                       416.219             6.897420e+05 
1.487352e-01    2.043360e-01    1.853516e-01   1.000000e+03         1.000000e+04         1.157562e+03        1.133635e+01         5.698000e+03         3.921325e+03        1.915144e-02                                           4.758252e+01    6.898008e+00                       80.2291             2.168600e+04 
2.043360e-01    2.807216e-01    2.387175e-01   1.000000e+01         1.000000e+02         7.038304e+01        1.133635e+01         5.698000e+03         7.226099e+02        2.273312e-02                                           4.240003e+03    6.511531e+01                       1302.6              5.787300e+05 
2.043360e-01    2.807216e-01    2.422757e-01   1.000000e+02         1.000000e+03         2.947632e+02        1.133635e+01         5.698000e+03         1.284494e+03        1.888700e-02                                           1.147393e+04    1.071164e+02                       1840.23             7.705600e+05 
2.043360e-01    2.807216e-01    2.479447e-01   1.000000e+03         1.000000e+04         1.235493e+03        1.133635e+01         5.698000e+03         3.337128e+03        1.342874e-02                                           2.504174e+02    1.582458e+01                       151.209             5.155500e+04 
2.807216e-01    3.856620e-01    3.195429e-01   1.000000e+01         1.000000e+02         7.906304e+01        1.133635e+01         5.698000e+03         6.728260e+02        1.183139e-02                                           2.119081e+03    4.603348e+01                       563.652             4.003030e+05 
2.807216e-01    3.856620e-01    3.257415e-01   1.000000e+02         1.000000e+03         3.276920e+02        1.133635e+01         5.698000e+03         1.156178e+03        9.103893e-03                                           1.049020e+04    1.024217e+02                       1120.11             8.278100e+05 
2.807216e-01    3.856620e-01    3.317615e-01   1.000000e+03         1.000000e+04         1.317238e+03        1.133635e+01         5.698000e+03         2.814812e+03        6.008552e-03                                           5.322141e+02    2.306977e+01                       145.686             9.750300e+04 
3.856620e-01    5.298317e-01    4.327270e-01   1.000000e+01         1.000000e+02         9.035181e+01        1.133635e+01         5.698000e+03         6.395676e+02        5.570054e-03                                           6.103232e+02    2.470472e+01                       187.812             1.515700e+05 
3.856620e-01    5.298317e-01    4.581732e-01   1.000000e+02         1.000000e+03         3.621165e+02        1.133635e+01         5.698000e+03         1.019704e+03        4.305106e-03                                           1.064576e+04    1.031783e+02                       820.813             8.706570e+05 
3.856620e-01    5.298317e-01    4.661783e-01   1.000000e+03         1.000000e+04         1.434347e+03        1.133635e+01         5.698000e+03         2.330841e+03        2.922927e-03                                           1.113939e+03    3.337573e+01                       249.56              1.646600e+05 
5.298317e-01    7.278954e-01    5.311478e-01   1.000000e+01         1.000000e+02         9.981641e+01        1.133635e+01         5.698000e+03         6.003891e+02        4.506179e-03                                           2.709508e-01    5.205294e-01                       0.219341            5.200000e+01 
5.298317e-01    7.278954e-01    6.224341e-01   1.000000e+02         1.000000e+03         4.055017e+02        1.133635e+01         5.698000e+03         9.353784e+02        2.919205e-03                                           1.254995e+04    1.120266e+02                       3087.55             8.822640e+05 
5.298317e-01    7.278954e-01    6.328253e-01   1.000000e+03         1.000000e+04         1.568165e+03        1.133635e+01         5.698000e+03         1.996229e+03        1.924700e-03                                           2.458583e+03    4.958410e+01                       74.9157             2.594260e+05 
7.278954e-01    1.000000e+00    8.198401e-01   1.000000e+02         1.000000e+03         4.585211e+02        1.133635e+01         5.698000e+03         8.782039e+02        1.343442e-03                                           7.022978e+03    8.380321e+01                       1676.75             8.575810e+05 
7.278954e-01    1.000000e+00    8.291739e-01   1.000000e+03         1.000000e+04         1.712499e+03        1.133635e+01         5.698000e+03         1.757710e+03        8.521603e-04                                           2.288984e+03    4.784333e+01                       726.085             3.931540e+05 
