* FASER$\nu$ $\nu_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$ $\nu_{\mu}$'
   IndexDataset = 137
   Reaction = 'CC nup'

   NData = 145
   NColumn = 5
   ColumnType = 'Flag',2*'Bin','Sigma',1*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv_14/nu_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 1*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat
  0        0.003905           55000               0               0
  0        0.005365               7               0         50.5849
  1        0.005365              55        0.998981         48.6167
  0        0.005365             550               0               0
  0        0.005365            5500               0               0
  0        0.005365           55000               0               0
  1         0.00737               7        0.983808         47.8822
  1         0.00737              55        0.419909         31.5343
  0         0.00737             550               0               0
  0         0.00737            5500               0               0
  0         0.00737           55000               0               0
  1        0.010125               7        0.479564         42.9833
  1        0.010125              55        0.457539         20.2507
  0        0.010125             550              -0         2932.76
  0        0.010125            5500               0               0
  0        0.010125           55000               0               0
  1         0.01391               7         0.41997         41.7206
  1         0.01391              55        0.450366         16.1759
  0         0.01391             550               0         450.731
  0         0.01391            5500               0               0
  0         0.01391           55000               0               0
  1         0.01911               7        0.299018         43.7504
  1         0.01911              55        0.404386         15.1357
  0         0.01911             550               0         153.541
  0         0.01911            5500               0               0
  0         0.01911           55000               0               0
  1        0.026255               7        0.241769         43.0449
  1        0.026255              55         0.25624         12.8744
  0        0.026255             550              -0         64.6576
  0        0.026255            5500               0               0
  0        0.026255           55000               0               0
  0         0.03607               7               0         54.8021
  1         0.03607              55        0.208102         12.3816
  1         0.03607             550        0.112134          34.521
  0         0.03607            5500               0               0
  0         0.03607           55000               0               0
  0        0.049555               7               0         133.148
  1        0.049555              55        0.147798         13.7518
  1        0.049555             550        0.035153         23.5478
  0        0.049555            5500               0               0
  0        0.049555           55000               0               0
  0         0.06808               7               0               0
  1         0.06808              55       0.0891466         12.6749
  1         0.06808             550       0.0676469         15.1607
  0         0.06808            5500               0               0
  0         0.06808           55000               0               0
  0         0.09353               7               0               0
  1         0.09353              55       0.0549002         11.9357
  1         0.09353             550       0.0526215         11.2856
  0         0.09353            5500               0         4367.31
  0         0.09353           55000               0               0
  0          0.1285               7               0               0
  1          0.1285              55       0.0370567         13.3348
  1          0.1285             550       0.0299604         10.7638
  0          0.1285            5500               0         399.426
  0          0.1285           55000               0               0
  0         0.17654               7               0               0
  1         0.17654              55       0.0256351         14.2819
