FASERVBAR2	1	58
   1	DIS	2.077181000000e-03	6.800362000000e+00	4.680309000000e-01	3.481000995866e+00	0.000000000000e+00	1.005490909587e+00	2.888510835765e+01	
   2	DIS	2.849814000000e-03	6.870471000000e+00	3.675743000000e-01	2.591955031633e+00	0.000000000000e+00	4.860038651462e-01	1.875047441853e+01	
   3	DIS	2.888861000000e-03	1.695653000000e+01	7.079524000000e-01	2.617280902078e+00	0.000000000000e+00	4.734437341150e-01	1.808914487318e+01	
   4	DIS	3.911867000000e-03	6.913540000000e+00	2.833495000000e-01	1.833794238158e+00	0.000000000000e+00	2.459834544857e-01	1.341390704405e+01	
   5	DIS	3.958464000000e-03	2.076883000000e+01	6.576656000000e-01	1.973308503962e+00	0.000000000000e+00	2.086401907231e-01	1.057311567371e+01	
   6	DIS	5.371724000000e-03	6.939451000000e+00	2.154216000000e-01	1.097320274782e+00	0.000000000000e+00	1.485065459168e-01	1.353356438679e+01	
   7	DIS	5.428352000000e-03	2.600130000000e+01	6.186948000000e-01	1.201113628951e+00	0.000000000000e+00	1.195206598254e-01	9.950820384055e+00	
   8	DIS	7.377025000000e-03	6.957429000000e+00	1.620165000000e-01	1.120271218875e+00	0.000000000000e+00	8.805814453745e-02	7.860430854043e+00	
   9	DIS	7.449622000000e-03	3.319914000000e+01	5.883032000000e-01	1.007576628778e+00	0.000000000000e+00	6.564882128376e-02	6.515516478721e+00	
  10	DIS	1.013181000000e-02	6.969893000000e+00	1.208319000000e-01	7.803826141937e-01	0.000000000000e+00	4.890789768614e-02	6.267169052283e+00	
  11	DIS	1.021372000000e-02	4.215400000000e+01	5.565448000000e-01	6.884989569243e-01	0.000000000000e+00	3.474630721491e-02	5.046675360284e+00	
  12	DIS	1.391764000000e-02	6.978409000000e+00	8.956480000000e-02	5.656621055510e-01	0.000000000000e+00	3.092119693024e-02	5.466372349642e+00	
  13	DIS	1.398013000000e-02	4.769938000000e+01	4.830505000000e-01	4.456498767003e-01	0.000000000000e+00	2.094266279220e-02	4.699353435766e+00	
  14	DIS	1.911883000000e-02	6.985183000000e+00	6.606433000000e-02	4.264494316368e-01	0.000000000000e+00	2.104018789800e-02	4.933806059312e+00	
  15	DIS	1.917199000000e-02	5.042955000000e+01	3.943338000000e-01	3.428583934101e-01	0.000000000000e+00	1.328434355561e-02	3.874586071374e+00	
  16	DIS	1.956353000000e-02	1.363621000000e+02	7.882205000000e-01	2.641021304382e-01	0.000000000000e+00	3.828048443200e-02	1.449457615828e+01	
  17	DIS	2.626202000000e-02	6.988424000000e+00	4.854671000000e-02	3.014136706161e-01	0.000000000000e+00	1.238330997088e-02	4.108410194390e+00	
  18	DIS	2.630928000000e-02	5.199240000000e+01	3.117008000000e-01	2.434160364477e-01	0.000000000000e+00	7.167384780594e-03	2.944499830492e+00	
  19	DIS	2.671326000000e-02	1.618693000000e+02	7.226625000000e-01	1.679462680901e-01	0.000000000000e+00	1.229840402160e-02	7.322820662498e+00	
  20	DIS	3.607491000000e-02	6.992395000000e+00	3.560625000000e-02	2.017623016266e-01	0.000000000000e+00	7.994160534526e-03	3.962167595273e+00	
  21	DIS	3.612180000000e-02	5.293998000000e+01	2.409148000000e-01	1.776275612463e-01	0.000000000000e+00	4.274008522583e-03	2.406162924601e+00	
  22	DIS	3.658263000000e-02	1.970038000000e+02	6.693523000000e-01	1.068584688408e-01	0.000000000000e+00	5.162768255671e-03	4.831407666308e+00	
  23	DIS	4.956003000000e-02	6.994898000000e+00	2.606110000000e-02	1.329180211872e-01	0.000000000000e+00	5.820460410474e-03	4.378985150761e+00	
  24	DIS	4.960822000000e-02	5.355066000000e+01	1.833333000000e-01	1.232409400373e-01	0.000000000000e+00	2.943645347772e-03	2.388528801290e+00	
  25	DIS	5.015251000000e-02	2.453615000000e+02	6.274213000000e-01	6.645499131345e-02	0.000000000000e+00	2.754823830376e-03	4.145397924112e+00	
  26	DIS	6.809300000000e-02	6.994875000000e+00	1.903186000000e-02	9.657674900568e-02	0.000000000000e+00	3.596147358390e-03	3.723616082975e+00	
  27	DIS	6.813032000000e-02	5.399577000000e+01	1.380129000000e-01	8.686571156970e-02	0.000000000000e+00	1.668018178236e-03	1.920226229768e+00	
  28	DIS	6.882300000000e-02	3.118760000000e+02	5.951236000000e-01	4.079200021573e-02	0.000000000000e+00	1.225913301473e-03	3.005278718841e+00	
  29	DIS	9.353967000000e-02	6.997424000000e+00	1.389828000000e-02	6.568454468920e-02	0.000000000000e+00	2.352294359877e-03	3.581199155764e+00	
  30	DIS	9.358019000000e-02	5.427789000000e+01	1.028768000000e-01	6.228927141563e-02	0.000000000000e+00	1.009682127255e-03	1.620956714227e+00	
  31	DIS	9.442867000000e-02	4.002658000000e+02	5.676522000000e-01	2.469413800913e-02	0.000000000000e+00	6.059824341038e-04	2.453952569148e+00	
  32	DIS	1.285041000000e-01	6.998164000000e+00	1.013744000000e-02	4.783934719054e-02	0.000000000000e+00	1.764301303836e-03	3.687971110494e+00	
  33	DIS	1.285341000000e-01	5.446577000000e+01	7.623423000000e-02	4.265108464558e-02	0.000000000000e+00	7.305176582678e-04	1.712776273659e+00	
  34	DIS	1.292317000000e-01	4.669217000000e+02	5.045066000000e-01	1.665398432043e-02	0.000000000000e+00	4.052322422832e-04	2.433245009040e+00	
  35	DIS	1.765357000000e-01	6.998752000000e+00	7.391784000000e-03	3.225428537546e-02	0.000000000000e+00	1.147274072548e-03	3.556966335461e+00	
