* FASER$\nu$ $\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$ $\bar{\nu}_{\mu}$'
   IndexDataset = 138
   Reaction = 'CC nup'

   NData = 145
   NColumn = 6
   ColumnType = 'Flag',2*'Bin','Sigma',2*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv_m14/nub_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 2*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat           uncor
  1        0.014420      115.800000    3.935200e-01      442.273083        4.587246
  0        0.013910     5500.000000        0.000000        0.000000        0.000000
  0        0.013910    55000.000000        0.000000        0.000000        0.000000
  1        0.018570        7.400000    4.097200e-01        7.073197        1.364390
  1        0.018940       46.600000    3.611500e-01        2.890399       11.569817
  1        0.019500      127.900000   -3.555518e+00       98.728933        3.035841
  0        0.019110     5500.000000        0.000000        0.000000        0.000000
  0        0.019110    55000.000000        0.000000        0.000000        0.000000
  1        0.025400        7.700000    2.896800e-01        6.922207        3.185423
  1        0.025920       52.400000    2.585200e-01        2.421565        9.763171
  1        0.026530      144.300000    1.734200e-01       31.238034        3.025315
  0        0.026255     5500.000000        0.000000        0.000000        0.000000
  0        0.026255    55000.000000        0.000000        0.000000        0.000000
  1        0.034570        8.400000    2.041200e-01        8.896548        7.146343
  1        0.035480       57.800000   -4.186518e-01        2.329892        6.709621
  1        0.036210      169.000000    1.114200e-01       13.727743        4.671346
  0        0.036070     5500.000000        0.000000        0.000000        0.000000
  0        0.036070    55000.000000        0.000000        0.000000        0.000000
  1        0.045220        9.300000    1.438500e-01       22.512716       11.401132
  1        0.048500       62.800000    1.303800e-01        2.671541        2.841999
  1        0.049550      205.500000    7.018400e-02        8.372741        6.359645
  0        0.049555     5500.000000        0.000000        0.000000        0.000000
  0        0.049555    55000.000000        0.000000        0.000000        0.000000
  0        0.068080        7.000000        0.000000        0.000000        0.000000
  1        0.066290       66.000000    3.620679e-02        2.434063        1.421186
  1        0.067850      259.900000    2.157339e+00        4.714862        7.090826
  0        0.068080     5500.000000        0.000000        0.000000        0.000000
  0        0.068080    55000.000000        0.000000        0.000000        0.000000
  0        0.093530        7.000000        0.000000        0.000000        0.000000
  1        0.090920       67.500000    6.410500e-02        2.283764        1.743623
  1        0.092960      343.700000    2.582400e-02        3.221592        6.627248
  1        0.105040     1031.000000    1.061000e-02    12342.857143       14.285714
  0        0.093530    55000.000000        0.000000        0.000000        0.000000
  0        0.128500        7.000000        0.000000        0.000000        0.000000
  1        0.124770       69.400000    6.398910e-02        2.716141        3.173167
  1        0.127340      452.900000   -3.270586e-02        3.127923        4.938317
  1        0.135710     1102.300000    6.127200e-03      941.009743       10.230292
  0        0.128500    55000.000000        0.000000        0.000000        0.000000
  0        0.176540        7.000000        0.000000        0.000000        0.000000
  1        0.171220       71.800000    2.979900e-02        2.996284        6.114179
  1        0.174030      559.600000    1.150000e-02        2.703217        1.864139
  1        0.181280     1195.500000    2.022366e-03      168.186575       18.203547
  0        0.176540    55000.000000        0.000000        0.000000        0.000000
  0        0.242530        7.000000        0.000000        0.000000        0.000000
  1        0.234370       75.900000   -6.831051e-05        3.348619       10.362724
  1        0.237210      632.700000    7.758100e-03        2.214634        0.627460
  1        0.245010     1328.700000    1.511800e-03       53.274243       18.593209
  0        0.242530    55000.000000        0.000000        0.000000        0.000000
  0        0.333190        7.000000        0.000000        0.000000        0.000000
  1        0.319270       81.900000    1.049100e-02        5.290706       18.612664
  1        0.324150      659.200000    5.644160e-03        2.300769        0.793930
  1        0.332420     1557.900000    9.343818e-04       30.655649       10.757304
  0        0.333190    55000.000000        0.000000        0.000000        0.000000
  0        0.457745        7.000000        0.000000        0.000000        0.000000
  1        0.424030       90.600000    4.559000e-03       13.291864       40.348602
  1        0.444900      663.900000    2.070700e-03        2.562375        3.421357
  1        0.453940     1936.800000    2.535300e-04       17.851823        0.588871
  0        0.457745    55000.000000        0.000000        0.000000        0.000000
  0        0.628865        7.000000        0.000000        0.000000        0.000000
  0        0.628865       55.000000        0.000000        0.000000        0.000000
  1        0.610400      673.400000    5.334744e-04        2.379185        6.345549
  1        0.622090     2502.200000    4.916175e-05        9.212701        2.008873
  0        0.628865    55000.000000        0.000000        0.000000        0.000000
  0        0.863950        7.000000        0.000000        0.000000        0.000000
  0        0.863950       55.000000        0.000000        0.000000        0.000000
  1        0.837720      688.500000    1.874200e-05        3.095943        8.942969
  1        0.853930     3304.700000    1.567600e-06        7.644146        3.340445
  0        0.863950    55000.000000        0.000000        0.000000        0.000000
