vpid hpid x y z0 thx thy en p1 p2 x1 x2 q w n
16 -431 -0.05677370000000001 0.002397152 1500 -3.7935e-05 1.4775999999999998e-06 14862.0 21 21 0.35867 2.9318000000000003e-05 6.1097 14.222999999999999 18907
16 -431 -0.06363394 -0.04004838 1500 -4.2347e-05 -2.6469e-05 12578.0 21 21 0.35867 2.9318000000000003e-05 6.1097 16.805999999999997 18907
16 -431 0.014916368 0.0007954368 1500 9.8984e-06 7.7984e-07 16342.0 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 12.935 5951
16 -431 0.155491 -0.11472034 1500 0.00010355 -7.6667e-05 2598.2 2 21 0.51126 6.0765e-09 0.9368200000000001 81.357 9442
16 -431 -0.10745922000000001 -0.11943372 1500 -7.191100000000001e-05 -7.9886e-05 5566.0 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 37.977 5951
16 -431 -0.03808544 -0.08140734000000001 1500 -2.5671999999999997e-05 -5.4017e-05 959.19 21 3 0.28423000000000004 1.5372e-05 1.5604 220.37 10255
16 -431 0.177319 -0.1531764 1500 0.00011845 -0.00010232 9984.6 21 21 0.27473000000000003 2.1655999999999998e-07 1.788 21.171 12244
16 -431 -0.00422431 -0.022749020000000002 1500 -2.6905e-06 -1.5401e-05 20577.0 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 10.273 5951
16 -431 -0.02544918 0.05361588 1500 -1.7009e-05 3.5594e-05 1156.9 21 21 0.13057 9.348399999999999e-08 2.2362 182.71 14567
16 -431 0.07240738 -0.001609708 1500 4.8419e-05 -1.2154e-06 22287.0 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 9.4845 5951
16 -431 0.10955980000000001 -0.03982822 1500 7.299e-05 -2.6861e-05 8431.4 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 25.070999999999998 5951
16 -431 0.1570104 -0.08010242000000001 1500 0.00010452 -5.3571000000000006e-05 5222.0 21 21 0.34231 1.2704000000000002e-06 1.1298 40.479 3842
16 -431 0.03229376 -0.011418752 1500 2.1288e-05 -7.5576e-06 18892.0 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 11.189 5951
16 -431 -0.1630796 -0.007679119999999999 1500 -0.00010848 -5.156e-06 3168.0 21 21 0.14864000000000002 4.9896e-06 1.5886 66.72399999999999 14532
16 431 0.09648856 -0.11155916 1500 6.4028e-05 -7.4558e-05 1140.5 21 21 0.10892 9.3416e-06 1.629 185.34 11981
16 -431 0.0030614020000000004 0.0178173 1500 2.3151e-06 1.1615e-05 18295.0 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 11.554 5951
16 -431 0.04770046000000001 -0.06718288 1500 3.1873000000000005e-05 -4.4943999999999995e-05 14233.0 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 14.850999999999999 5951
16 431 -0.08477037999999999 -0.05498448 1500 -5.656899999999999e-05 -3.7024e-05 2372.6 2 21 0.57201 2.9306e-08 1.157 89.09299999999999 16413
16 -431 0.01785632 -0.0310063 1500 1.2016e-05 -2.0565e-05 12183.0 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 17.35 5951
16 -431 -0.1568682 -0.08583083999999999 1500 -0.00010491 -5.6942e-05 1779.0 21 21 0.26900999999999997 6.5317000000000005e-09 0.89443 118.82 5092
16 431 -0.10340402 0.03883596 1500 -6.9151e-05 2.5898000000000002e-05 1764.8 21 21 0.26050999999999996 8.3713e-08 1.9103 119.78 19433
16 -431 0.07057997999999999 -0.16675879999999998 1500 4.7048999999999996e-05 -0.00011144 3327.9 2 21 0.47373000000000004 2.0152e-08 1.6558 63.518 10011
16 431 -0.1989788 0.06983934 1500 -0.00013294 4.6617e-05 1669.7 2 21 0.57201 2.9306e-08 1.157 126.6 16413
16 431 -0.18681820000000002 0.05659578 1500 -0.00012441 3.7839e-05 435.33 21 21 0.33486 6.476e-06 2.7078 485.56 13981
16 -431 -0.016642900000000002 -0.07885676 1500 -1.1395e-05 -5.2438e-05 3135.3 2 21 0.51126 6.0765e-09 0.9368200000000001 67.42 9442
16 -431 0.10258594000000001 0.18753540000000002 1500 6.8447e-05 0.00012527 3931.5 2 21 0.51126 6.0765e-09 0.9368200000000001 53.766000000000005 9442
16 -431 -0.1778746 0.0595677 1500 -0.00011873 3.9635e-05 9258.5 21 3 0.28423000000000004 1.5372e-05 1.5604 22.831 10255
16 -431 -0.059628139999999996 0.0826651 1500 -4.0057e-05 5.5005e-05 8937.2 21 21 0.35867 2.9318000000000003e-05 6.1097 23.651999999999997 18907
16 -431 -0.011047886 0.0619894 1500 -7.429299999999999e-06 4.147e-05 10823.0 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 19.531 5951
16 -431 -0.0456938 -0.10887026 1500 -3.069e-05 -7.2363e-05 13757.0 21 21 0.35867 2.9318000000000003e-05 6.1097 15.365 18907
16 -431 0.011617535999999998 -0.0295495 1500 7.5367999999999996e-06 -1.9725e-05 13085.0 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 16.154 5951
16 -431 0.153995 -0.1267904 1500 0.00010275 -8.452e-05 5674.8 21 21 0.14864000000000002 4.9896e-06 1.5886 37.249 14532
16 -431 -0.1578622 0.06223408 1500 -0.00010511 4.1503999999999994e-05 5497.1 21 3 0.28423000000000004 1.5372e-05 1.5604 38.453 10255
16 431 -0.14927304000000002 -0.1249507 1500 -9.955200000000001e-05 -8.3285e-05 1388.5 21 21 0.1401 1.0127e-06 2.1496 152.24 1479
16 431 0.006213576 0.08802084 1500 4.2388e-06 5.8442e-05 1693.0 21 21 0.16580999999999999 3.2044e-08 1.3352 124.86 6593
