vpid hpid x y z0 thx thy en p1 p2 x1 x2 q w n
-16 431 0.153304 -0.04151062 1500 0.0001022 -2.7481e-05 5633.2 21 21 0.33207 2.1256e-07 0.98972 37.524 8533
-16 431 -0.13686864 -0.0620858 1500 -9.133200000000001e-05 -4.129e-05 8538.7 21 21 0.48165 6.3419e-08 1.42 24.756 17401
-16 431 -0.17749979999999999 0.0001510386 1500 -0.00011849 3.043e-08 5018.6 21 21 0.48165 6.3419e-08 1.42 42.119 17401
-16 431 0.07940702000000001 0.06294697999999999 1500 5.2801000000000005e-05 4.189899999999999e-05 6170.5 21 21 0.1401 1.0127e-06 2.1496 34.257 1479
-16 431 -0.14206142 0.0446561 1500 -9.4521e-05 3.0055e-05 6218.7 21 21 0.26050999999999996 8.3713e-08 1.9103 33.991 19433
-16 431 0.10438314 0.014105906 1500 6.9807e-05 9.2803e-06 6354.3 21 21 0.17072 9.2735e-08 2.717 33.266 15356
-16 431 0.058384799999999994 0.02696988 1500 3.874e-05 1.7794e-05 4343.8 21 21 0.16504000000000002 3.9644e-06 3.1982 48.663000000000004 809
-16 431 -0.19816499999999998 0.008443728 1500 -0.00013225 5.3664e-06 4972.4 21 21 0.11802 8.4226e-06 1.8777 42.511 1514
-16 431 0.1803156 -0.08074096 1500 0.00012028 -5.4148000000000004e-05 3049.2 21 21 0.24977 4.9685e-06 5.0216 69.32300000000001 18784
-16 -431 -0.09650467999999998 -0.02312814 1500 -6.403399999999999e-05 -1.5557e-05 2086.2 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 101.32 5951
-16 431 0.1804596 0.05161362 1500 0.00012048 3.4631e-05 6242.8 21 21 0.25488 3.0389e-06 1.84 33.86 15544
-16 431 -0.03880052 -0.09178694 1500 -2.6226e-05 -6.1497e-05 13837.0 21 21 0.48165 6.3419e-08 1.42 15.276 17401
-16 431 0.07701838 0.008684178 1500 5.1469e-05 5.5139e-06 1452.6 21 21 0.33608000000000005 1.259e-05 1.9342 145.52 7665
-16 431 0.09336193999999999 -0.01530672 1500 6.2247e-05 -1.0535999999999999e-05 4966.8 21 21 0.33486 6.476e-06 2.7078 42.559 13981
-16 431 0.09105122 -0.13387538 1500 6.1011e-05 -8.931899999999999e-05 4224.7 21 21 0.17072 9.2735e-08 2.717 50.035 15356
-16 431 -0.059353939999999994 0.06607388 1500 -3.9347e-05 4.3994e-05 10032.0 21 21 0.1401 1.0127e-06 2.1496 21.070999999999998 1479
-16 431 0.13099014 0.1713656 1500 8.7157e-05 0.00011428 6462.1 21 21 0.16580999999999999 3.2044e-08 1.3352 32.711 6593
-16 431 0.02350002 0.10998204 1500 1.5951e-05 7.3502e-05 6571.8 21 21 0.16580999999999999 3.2044e-08 1.3352 32.165 6593
-16 431 -0.04789481999999999 -0.03339458 1500 -3.2191e-05 -2.2279e-05 14482.0 21 21 0.1401 1.0127e-06 2.1496 14.595999999999998 1479
-16 431 0.12500809999999998 0.08700906 1500 8.3155e-05 5.8303e-05 7517.0 21 21 0.1401 1.0127e-06 2.1496 28.12 1479
-16 431 -0.16104960000000001 0.08866492 1500 -0.00010748 5.8946e-05 7092.4 21 21 0.11802 8.4226e-06 1.8777 29.804000000000002 1514
-16 431 -0.0369096 0.0682273 1500 -2.498e-05 4.5615e-05 11959.0 21 21 0.1401 1.0127e-06 2.1496 17.675 1479
-16 431 0.07126698 -0.01577588 1500 4.7399e-05 -1.0594e-05 7457.7 21 21 0.1401 1.0127e-06 2.1496 28.344 1479
-16 431 0.06605308 -0.03922944 1500 4.3954e-05 -2.6371999999999998e-05 5652.6 21 21 0.33207 2.1256e-07 0.98972 37.395 8533
-16 431 0.012966194 -0.0639054 1500 8.574700000000001e-06 -4.277e-05 2773.2 21 21 0.0008351 0.00029832 9.6618 76.223 1814
-16 431 0.059161080000000005 -0.1746252 1500 3.9354e-05 -0.00011626 5059.8 2 21 0.57201 2.9306e-08 1.157 41.777 16413
-16 431 -0.11243042 -0.02610714 1500 -7.4971e-05 -1.7507e-05 4009.2 21 21 0.14916 4.0625999999999996e-08 2.2224 52.724 1371
-16 431 0.05623222 0.11713166 1500 3.7561e-05 7.7933e-05 3615.3 21 21 0.24977 4.9685e-06 5.0216 58.468 18784
-16 -431 -0.050856620000000005 -0.02562492 1500 -3.3781e-05 -1.7446e-05 3165.6 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 66.774 5951
-16 431 0.02399462 0.02758762 1500 1.6181e-05 1.8330999999999998e-05 1109.1 21 21 0.028743 8.2935e-07 1.4264 190.59 5116
-16 431 -0.0561769 0.09326066000000001 1500 -3.7595e-05 6.1883e-05 12528.0 21 21 0.1401 1.0127e-06 2.1496 16.873 1479
-16 431 0.011168994000000002 0.049100099999999994 1500 7.714700000000001e-06 3.2755e-05 14198.0 21 21 0.1401 1.0127e-06 2.1496 14.888 1479
-16 431 -0.04030592 0.025294940000000002 1500 -2.6996e-05 1.6897e-05 11066.0 21 21 0.1401 1.0127e-06 2.1496 19.102 1479
-16 -431 -0.1602506 -0.0536635 1500 -0.00010653 -3.5925e-05 2363.4 21 21 0.35867 2.9318000000000003e-05 6.1097 89.439 18907
-16 431 0.053884020000000005 -0.05283064 1500 3.5651e-05 -3.5431999999999996e-05 12660.0 21 21 0.1401 1.0127e-06 2.1496 16.697 1479
-16 431 -0.09499626000000001 -0.07214576 1500 -6.3663e-05 -4.7888e-05 6283.8 21 21 0.48165 6.3419e-08 1.42 33.639 17401
-16 431 0.00219317 -0.039585060000000005 1500 1.4834999999999999e-06 -2.6603000000000003e-05 6047.2 21 21 0.16504000000000002 3.9644e-06 3.1982 34.955 809
-16 431 -0.07871117999999999 -0.09027067999999999 1500 -5.2609e-05 -6.0333999999999995e-05 4737.6 2 21 0.57201 2.9306e-08 1.157 44.618 16413
-16 431 -0.08465776 -0.01833226 1500 -5.6488e-05 -1.2462999999999999e-05 11599.0 21 21 0.48165 6.3419e-08 1.42 18.224 17401
-16 -431 0.032047839999999994 -0.13578602 1500 2.1292e-05 -9.0751e-05 1886.2 21 21 0.25559 2.4854e-08 0.89443 112.07 15835
-16 431 0.17329 0.05640416000000001 1500 0.0001155 3.7308e-05 5061.6 21 21 0.16580999999999999 3.2044e-08 1.3352 41.762 6593
-16 431 0.19463740000000002 -0.09073408 1500 0.00012987 -6.0503999999999995e-05 1218.1 21 21 0.19747 0.00011262 5.3145 173.53 11497
-16 -431 0.00550341 -0.0807669 1500 3.8955e-06 -5.3595e-05 1659.3 21 21 0.34231 1.2704000000000002e-06 1.1298 127.39 3842
-16 431 -0.1850064 0.07061128 1500 -0.00012332 4.7363999999999996e-05 8900.9 2 21 0.57201 2.9306e-08 1.157 23.748 16413
-16 431 -0.031222560000000003 0.1936764 1500 -2.0728000000000002e-05 0.00012882 3322.5 21 21 0.14916 4.0625999999999996e-08 2.2224 63.621 1371
-16 431 -0.009971526 -0.06726968 1500 -6.5113e-06 -4.4784e-05 4487.3 21 21 0.17072 9.2735e-08 2.717 47.106 15356
-16 431 -0.02281312 -0.01624174 1500 -1.5356e-05 -1.0737e-05 13532.0 21 21 0.1401 1.0127e-06 2.1496 15.620999999999999 1479
-16 431 0.04015278 -0.0275549 1500 2.6689e-05 -1.8495e-05 11389.0 21 21 0.48165 6.3419e-08 1.42 18.56 17401
-16 431 -0.0734961 -0.0849265 1500 -4.9055e-05 -5.6575e-05 14274.0 21 21 0.48165 6.3419e-08 1.42 14.809000000000001 17401
-16 431 -0.13140970000000002 -0.0715136 1500 -8.7735e-05 -4.768e-05 9465.4 21 21 0.48165 6.3419e-08 1.42 22.331999999999997 17401
-16 -431 0.011942888 -0.011163096 1500 7.9244e-06 -7.4148000000000006e-06 3133.7 21 21 0.35867 2.9318000000000003e-05 6.1097 67.454 18907
-16 431 0.0608129 -0.13707842 1500 4.0395e-05 -9.1371e-05 5073.4 21 21 0.53663 6.3591000000000005e-09 1.1657 41.665 2702
-16 -431 0.03597912 -0.09508406 1500 2.4156e-05 -6.3553e-05 2917.7 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 72.44800000000001 5951
-16 431 -0.10400058 -0.0894265 1500 -6.9079e-05 -5.9575e-05 6798.0 2 21 0.57201 2.9306e-08 1.157 31.095 16413
-16 431 -0.12992759999999998 0.0039071340000000005 1500 -8.688e-05 2.7717e-06 5920.7 21 21 0.26050999999999996 8.3713e-08 1.9103 35.702 19433
-16 -431 0.03984802 -0.034935299999999996 1500 2.6351e-05 -2.3015e-05 4764.3 21 21 0.29433000000000004 9.273799999999999e-08 1.6319 44.368 5951
-16 431 -0.1799838 0.1619016 1500 -0.00012019 0.00010808 3231.4 21 21 0.24059 1.3365e-06 3.1876 65.415 9782
