* FASER$\nu$ $\nu_{\mu}+\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$ $\nu_{\mu}+\bar{\nu}_{\mu}$'
   IndexDataset = 139
   Reaction = 'CC nup'

   NData = 145
   NColumn = 7
   ColumnType = 'Flag',2*'Bin','Sigma',3*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor','syst:C'
   TheoryType = 'expression'
   TermType   = 'reaction','reaction'
   TermName   = 'P','A'
   TermSource = 'PineAPPL','PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv_14/nu_A_1-XSFPFCC.pineappl.lz4',
                'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv_m14/nub_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P+A'

   Percent = 3*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat           uncor          syst:C
  0         0.03607           55000               0               0               0               0
  0        0.049555               7        0.233787         107.059         23.2235         23.2235
  1        0.049555              55        0.203016         11.4858         4.02395         4.02395
  1        0.049555             550        0.178058         21.1958         12.5354         12.5354
  0        0.049555            5500               0               0               0               0
  0        0.049555           55000               0               0               0               0
  0         0.06808               7               0               0               0               0
  1         0.06808              55        0.175586         10.5835         3.25549         3.25549
  1         0.06808             550        0.147908         13.5168         13.2379         13.2379
  0         0.06808            5500               0               0               0               0
  0         0.06808           55000               0               0               0               0
  0         0.09353               7               0               0               0               0
  1         0.09353              55        0.131666         9.98473         4.09557         4.09557
  1         0.09353             550         0.10456         10.0161         11.7199         11.7199
  0         0.09353            5500        0.059367         4152.27         22.4138         22.4138
  0         0.09353           55000               0               0               0               0
  0          0.1285               7               0               0               0               0
  1          0.1285              55       0.0664939         11.3742         6.54227         6.54227
  1          0.1285             550       0.0453851         9.68047         7.20999         7.20999
  0          0.1285            5500       0.0298514         385.271         10.2271         10.2271
  0          0.1285           55000               0               0               0               0
  0         0.17654               7               0               0               0               0
  1         0.17654              55        0.050296         12.2808         10.8272         10.8272
  1         0.17654             550       0.0354133          8.5634         1.03291         1.03291
  0         0.17654            5500       0.0254726         114.245           21.55           21.55
  0         0.17654           55000               0               0               0               0
  0         0.24253               7               0               0               0               0
  1         0.24253              55       0.0376591         13.7823         17.4683         17.4683
  1         0.24253             550       0.0257629         7.29028         3.30726         3.30726
  0         0.24253            5500       0.0183061         51.1432         23.6116         23.6116
  0         0.24253           55000               0               0               0               0
  0         0.33319               7               0               0               0               0
  1         0.33319              55       0.0191711         21.2544          29.464          29.464
  1         0.33319             550       0.0118574         7.46237         2.16425         2.16425
  1         0.33319            5500      0.00732945         34.0389         16.9451         16.9451
  0         0.33319           55000               0               0               0               0
  0        0.457745               7               0               0               0               0
  0        0.457745              55      0.00905032         51.1333         62.1388         62.1388
  1        0.457745             550       0.0053059         7.93284         4.77324         4.77324
  1        0.457745            5500      0.00310032         23.3235         8.90323         8.90323
  0        0.457745           55000               0               0               0               0
  0        0.628865               7               0               0               0               0
  0        0.628865              55               0               0               0               0
  1        0.628865             550      0.00378694         7.69222         9.10005         9.10005
  1        0.628865            5500      0.00190778         15.5711         4.94759         4.94759
  0        0.628865           55000               0               0               0               0
  0         0.86395               7               0               0               0               0
  0         0.86395              55               0               0               0               0
  1         0.86395             550      0.00160733         10.3854         14.2644         14.2644
  1         0.86395            5500      0.00068196         15.4239         2.39457         2.39457
  0         0.86395           55000               0               0               0               0
