* FASER$\nu$2 $\nu_{\mu}+\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 $\nu_{\mu}+\bar{\nu}_{\mu}$'
   IndexDataset = 142
   Reaction = 'CC nup'

   NData = 60
   NColumn = 7
   ColumnType = 'Flag',2*'Bin','Sigma',3*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor','syst:C'
   TheoryType = 'expression'
   TermType   = 'reaction','reaction'
   TermName   = 'P','A'
   TermSource = 'PineAPPL','PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_NU/nu_A_1-XSFPFCC_charm.pineappl.lz4',
                'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_NUB/nub_A_1-XSFPFCC_charm.pineappl.lz4'
   TheorExpr  = 'P+A'

   Percent = 3*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag              x                  Q2               Sigma                stat               uncor              syst:C
  0        0.0004653642            4.499471    12872578.3533027    44360.9181927451    282.842975222225    282.842975222225
  0        0.0006023158            4.804296    664915.855581497    922.756348777491    41.0002344122456    41.0002344122456
  0         0.000805487            5.295361    2707.63441303316    215.867507122002    22.9819827212653    22.9819827212653
  0         0.001103386            6.165672    1628.16538826612    88.4530180068871    15.5020580864686    15.5020580864686
  0         0.001199512            10.83793    1622.56841701562    6592.53577861546    133.404821172523    133.404821172523
  1         0.001502325            6.605884    478.640199022584    44.6969027322146    10.1765203737381    10.1765203737381
  0         0.001550446            11.82182    526.608010754578     365.24123753845    26.8409273589854    26.8409273589854
  1         0.002056204            6.711767    44.7729444458969    28.3585590772474    14.0449838498975    14.0449838498975
  0         0.002088313            13.65257    50.7999483168639    110.305514812477     13.605652580227     13.605652580227
  1         0.002832968             6.92208    23.3215397372067    19.6512594860127    11.4453000685803    11.4453000685803
  1         0.002868817            15.88118    33.2481760155413    45.6368278811745    11.3456175217073    11.3456175217073
  1         0.003867511            6.969445    14.9767814871714     13.120598562176    12.3320589634773    12.3320589634773
  1         0.003910165            19.23522    23.6071515193666    21.4676102866934     9.7263266773721     9.7263266773721
  1         0.005332159            6.923533    6.67588326502217    10.7364492992571    7.62391986428413    7.62391986428413
  1         0.005376057            23.72244     9.5141423473055    13.6530483215919    10.2827364808313    10.2827364808313
  1          0.00728382            6.864471    4.27314195748166     9.9222902971764    11.1092175539639    11.1092175539639
  1         0.007357012            29.85817    5.44510008786018    8.77313894849968    7.24883543617516    7.24883543617516
  1          0.01004141            7.016726    3.70181985204804    7.95329716522991    18.2740346774944    18.2740346774944
  1          0.01009387            38.41355    4.57245309717191    5.71502773634336    8.50472259768479    8.50472259768479
  0          0.01106434             105.237     4.2904871045518    6913.46299254084    99.2775027263061    99.2775027263061
  1          0.01373133            7.059776    2.97347575107685    7.39291365562726    19.9244884139233    19.9244884139233
  1          0.01382972            44.86927    3.44412170886295    4.59467084360533    7.57754017581663    7.57754017581663
  0          0.01436363            116.4126    3.26614094511329    147.987039186662    18.3381656409688    18.3381656409688
  1          0.01893405            7.091961    2.44023451680249    8.11119646087388    26.6452975848595    26.6452975848595
