A_index       xlower          xupper         Q2Lower          Q2Upper 
132             0.38566          0.529830         100.0000          1000.0000 
133             0.38566          0.529830         1000.0000          10000.0000 
134             0.38566          0.529830         10000.0000          100000.0000 
135             0.52983          0.727900         4.0000          10.0000 
136             0.52983          0.727900         10.0000          100.0000 
137             0.52983          0.727900         100.0000          1000.0000 
138             0.52983          0.727900         1000.0000          10000.0000 
139             0.52983          0.727900         10000.0000          100000.0000 
140             0.72790          1.000000         4.0000          10.0000 
141             0.72790          1.000000         10.0000          100.0000 
142             0.72790          1.000000         100.0000          1000.0000 
143             0.72790          1.000000         1000.0000          10000.0000 
144             0.72790          1.000000         10000.0000          100000.0000 
