Experiment = FLArE10 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 700 cm | Total Events = 577.8 |            del_theta = 15.0 mrad, theta_max = 400.0 mrad |            del_Elepton = 5.0 % , Elepton_min = 0.01 GeV, Elepton_max = 2.00 GeV|            del_Ehadron = 30.0 %, Ehadron_min = 0.01 GeV GeV, Ehadron_max = 6000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) / GeV^-2           N_events        N_events_errs = Sqrt[N_events]      N_sys_errs          MC_Samples 
1.610262e-02    2.212216e-02    1.882719e-02   1.000000e+01         1.000000e+02         5.401748e+01        1.133635e+01         5.698000e+03         1.541984e+03        8.829471e-02                                           2.923842e+01    5.407256e+00                       0.827394            8.412682e+02 
1.610262e-02    2.212216e-02    1.922003e-02   1.000000e+02         1.000000e+03         1.463395e+02        1.133635e+01         5.698000e+03         4.072042e+03        1.049769e-01                                           9.198667e-02    3.032931e-01                       0.0037788           6.710661e+02 
2.212216e-02    3.039195e-02    2.578020e-02   4.000000e+00         1.000000e+01         7.045423e+00        1.133635e+01         5.698000e+03         1.476973e+02        3.108160e-02                                           1.415998e+00    1.189957e+00                       0.101189            4.785143e+01 
2.212216e-02    3.039195e-02    2.583269e-02   1.000000e+01         1.000000e+02         5.451592e+01        1.133635e+01         5.698000e+03         1.135124e+03        7.043821e-02                                           4.406894e+01    6.638444e+00                       0.642834            6.650775e+02 
2.212216e-02    3.039195e-02    2.624751e-02   1.000000e+02         1.000000e+03         1.793952e+02        1.133635e+01         5.698000e+03         3.653748e+03        8.344869e-02                                           9.710221e-01    9.854045e-01                       0.0196568           9.867136e+02 
3.039195e-02    4.175319e-02    3.553623e-02   4.000000e+00         1.000000e+01         7.041173e+00        1.133635e+01         5.698000e+03         1.076564e+02        1.974674e-02                                           1.292346e+00    1.136814e+00                       0.0647958           3.736423e+01 
3.039195e-02    4.175319e-02    3.555613e-02   1.000000e+01         1.000000e+02         5.447462e+01        1.133635e+01         5.698000e+03         8.250674e+02        4.535892e-02                                           5.100653e+01    7.141885e+00                       1.17379             5.091736e+02 
3.039195e-02    4.175319e-02    3.592329e-02   1.000000e+02         1.000000e+03         2.252306e+02        1.133635e+01         5.698000e+03         3.350532e+03        5.341523e-02                                           4.780770e+00    2.186497e+00                       0.119222            1.231673e+03 
4.175319e-02    5.736153e-02    4.881800e-02   4.000000e+00         1.000000e+01         7.013715e+00        1.133635e+01         5.698000e+03         7.844197e+01        6.748620e-03                                           6.725501e-01    8.200915e-01                       0.0666404           2.604608e+01 
4.175319e-02    5.736153e-02    4.865856e-02   1.000000e+01         1.000000e+02         5.448360e+01        1.133635e+01         5.698000e+03         6.029597e+02        1.689652e-02                                           3.676972e+01    6.063804e+00                       0.877143            3.840435e+02 
4.175319e-02    5.736153e-02    4.924267e-02   1.000000e+02         1.000000e+03         2.878247e+02        1.133635e+01         5.698000e+03         3.122341e+03        1.968851e-02                                           1.135887e+01    3.370293e+00                       0.364831            1.372620e+03 
5.736153e-02    7.880463e-02    6.672332e-02   4.000000e+00         1.000000e+01         6.992483e+00        1.133635e+01         5.698000e+03         5.777832e+01        5.431045e-03                                           5.979189e-01    7.732521e-01                       0.0753841           1.848154e+01 
5.736153e-02    7.880463e-02    6.668436e-02   1.000000e+01         1.000000e+02         5.492808e+01        1.133635e+01         5.698000e+03         4.439190e+02        1.356411e-02                                           4.203666e+01    6.483568e+00                       0.878332            2.675955e+02 
5.736153e-02    7.880463e-02    6.741685e-02   1.000000e+02         1.000000e+03         3.733385e+02        1.133635e+01         5.698000e+03         2.957199e+03        1.567203e-02                                           3.648733e+01    6.040474e+00                       1.10933             1.399497e+03 
7.880463e-02    1.082637e-01    9.158528e-02   4.000000e+00         1.000000e+01         7.019833e+00        1.133635e+01         5.698000e+03         4.273445e+01        3.554629e-03                                           3.579427e-01    5.982831e-01                       0.0375531           1.114623e+01 
7.880463e-02    1.082637e-01    9.136605e-02   1.000000e+01         1.000000e+02         5.465743e+01        1.133635e+01         5.698000e+03         3.229740e+02        8.950085e-03                                           4.239452e+01    6.511107e+00                       1.40799             1.552449e+02 
7.880463e-02    1.082637e-01    9.204973e-02   1.000000e+02         1.000000e+03         4.801315e+02        1.133635e+01         5.698000e+03         2.789422e+03        1.019809e-02                                           8.170776e+01    9.039235e+00                       1.82887             1.174394e+03 
7.880463e-02    1.082637e-01    1.028351e-01   1.000000e+03         1.000000e+04         1.047954e+03        1.133635e+01         5.698000e+03         5.436713e+03        6.978469e-03                                           1.660328e-06    1.288537e-03                       2.29056e-07         2.469936e+01 
1.082637e-01    1.487352e-01    1.247585e-01   4.000000e+00         1.000000e+01         6.871148e+00        1.133635e+01         5.698000e+03         3.122420e+01        9.340036e-04                                           9.921664e-02    3.149867e-01                       0.0265708           5.759363e+00 
1.082637e-01    1.487352e-01    1.238877e-01   1.000000e+01         1.000000e+02         5.488851e+01        1.133635e+01         5.698000e+03         2.398182e+02        2.880358e-03                                           2.113902e+01    4.597719e+00                       0.500409            6.879717e+01 
1.082637e-01    1.487352e-01    1.235266e-01   1.000000e+02         1.000000e+03         5.258366e+02        1.133635e+01         5.698000e+03         2.286386e+03        3.256409e-03                                           6.527253e+01    8.079142e+00                       1.97209             6.137304e+02 
1.082637e-01    1.487352e-01    1.279375e-01   1.000000e+03         1.000000e+04         1.167392e+03        1.133635e+01         5.698000e+03         4.884263e+03        1.987286e-03                                           8.695100e-04    2.948746e-02                       7.11221e-05         1.363622e+02 
1.487352e-01    2.043360e-01    1.609483e-01   4.000000e+00         1.000000e+01         6.678408e+00        1.133635e+01         5.698000e+03         2.414530e+01        5.202502e-04                                           4.493607e-03    6.703437e-02                       0.0058795           1.575945e+00 
1.487352e-01    2.043360e-01    1.600162e-01   1.000000e+01         1.000000e+02         5.351956e+01        1.133635e+01         5.698000e+03         1.809139e+02        1.642790e-03                                           4.178594e+00    2.044161e+00                       1.30432             8.309529e+00 
1.487352e-01    2.043360e-01    1.594917e-01   1.000000e+02         1.000000e+03         5.380243e+02        1.133635e+01         5.698000e+03         1.807418e+03        1.767245e-03                                           3.213545e+01    5.668814e+00                       2.82523             7.289463e+01 
1.487352e-01    2.043360e-01    1.611932e-01   1.000000e+03         1.000000e+04         1.316960e+03        1.133635e+01         5.698000e+03         4.362357e+03        1.463590e-03                                           1.049065e-02    1.024239e-01                       0.00160551          3.816653e+01 
2.043360e-01    2.807216e-01    2.125911e-01   4.000000e+00         1.000000e+01         5.788472e+00        1.133635e+01         5.698000e+03         1.663987e+01        3.896914e-04                                           0.000000e+00    0.000000e+00                       0.0                 2.578819e-01 
2.043360e-01    2.807216e-01    2.092978e-01   1.000000e+02         1.000000e+03         3.174498e+02        1.133635e+01         5.698000e+03         8.146578e+02        1.410897e-03                                           0.000000e+00    0.000000e+00                       0.0                 2.578819e-01 
2.043360e-01    2.807216e-01    2.116106e-01   1.000000e+03         1.000000e+04         1.350612e+03        1.133635e+01         5.698000e+03         3.413930e+03        1.100025e-03                                           0.000000e+00    0.000000e+00                       0.0                 2.578819e-01 
