Experiment = FASERv2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 200 cm | Total Events = 79893.8
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) / GeV^-2           N_events        N_events_errs = Sqrt[N_events]      MC_Samples 
4.175319e-02    5.736153e-02    4.960822e-02   1.000000e+01         1.000000e+02         5.355066e+01        1.133635e+01         5.698274e+03         3.138608e+03        1.311096e-01                                           1.844394e+03    4.294641e+01                       8.971637e+06 
4.175319e-02    5.736153e-02    5.015251e-02   1.000000e+02         1.000000e+03         2.453615e+02        1.133635e+01         5.698274e+03         4.156441e+03        7.313255e-02                                           6.018629e+02    2.453289e+01                       1.939941e+06 
5.736153e-02    7.880463e-02    6.809300e-02   4.000000e+00         1.000000e+01         6.994875e+00        1.133635e+01         5.698274e+03         2.877156e+03        1.192401e-01                                           7.227995e+02    2.688493e+01                       9.922249e+06 
5.736153e-02    7.880463e-02    6.813032e-02   1.000000e+01         1.000000e+02         5.399577e+01        1.133635e+01         5.698274e+03         3.061025e+03        1.158566e-01                                           2.856510e+03    5.344633e+01                       9.258226e+06 
5.736153e-02    7.880463e-02    6.882300e-02   1.000000e+02         1.000000e+03         3.118760e+02        1.133635e+01         5.698274e+03         4.058900e+03        6.078646e-02                                           1.161143e+03    3.407555e+01                       3.015664e+06 
7.880463e-02    1.082637e-01    9.353967e-02   4.000000e+00         1.000000e+01         6.997424e+00        1.133635e+01         5.698274e+03         2.869119e+03        8.981313e-02                                           8.453805e+02    2.907543e+01                       9.949309e+06 
7.880463e-02    1.082637e-01    9.358019e-02   1.000000e+01         1.000000e+02         5.427789e+01        1.133635e+01         5.698274e+03         3.005305e+03        8.792235e-02                                           3.825683e+03    6.185211e+01                       9.463808e+06 
7.880463e-02    1.082637e-01    9.442867e-02   1.000000e+02         1.000000e+03         4.002658e+02        1.133635e+01         5.698274e+03         3.980425e+03        4.177342e-02                                           1.720433e+03    4.147810e+01                       4.487894e+06 
1.082637e-01    1.487352e-01    1.285041e-01   4.000000e+00         1.000000e+01         6.998164e+00        1.133635e+01         5.698274e+03         2.863559e+03        4.856550e-02                                           7.527317e+02    2.743596e+01                       9.968565e+06 
1.082637e-01    1.487352e-01    1.285341e-01   1.000000e+01         1.000000e+02         5.446577e+01        1.133635e+01         5.698274e+03         2.962937e+03        4.396094e-02                                           3.526570e+03    5.938493e+01                       9.615079e+06 
1.082637e-01    1.487352e-01    1.292317e-01   1.000000e+02         1.000000e+03         4.669217e+02        1.133635e+01         5.698274e+03         3.817467e+03        1.640067e-02                                           1.614625e+03    4.018239e+01                       5.977949e+06 
1.487352e-01    2.043360e-01    1.765357e-01   4.000000e+00         1.000000e+01         6.998752e+00        1.133635e+01         5.698274e+03         2.858946e+03        4.055615e-02                                           8.657027e+02    2.942283e+01                       9.982360e+06 
1.487352e-01    2.043360e-01    1.765838e-01   1.000000e+01         1.000000e+02         5.463313e+01        1.133635e+01         5.698274e+03         2.931649e+03        3.719524e-02                                           4.488205e+03    6.699407e+01                       9.724599e+06 
1.487352e-01    2.043360e-01    1.771473e-01   1.000000e+02         1.000000e+03         4.988208e+02        1.133635e+01         5.698274e+03         3.604888e+03        1.598118e-02                                           2.468840e+03    4.968742e+01                       7.076703e+06 
1.487352e-01    2.043360e-01    1.811942e-01   1.000000e+03         1.000000e+04         1.312415e+03        1.133635e+01         5.698274e+03         4.787136e+03        5.733612e-03                                           4.875143e+01    6.982222e+00                       2.336250e+05 
2.043360e-01    2.807216e-01    2.425286e-01   4.000000e+00         1.000000e+01         6.998424e+00        1.133635e+01         5.698274e+03         2.857972e+03        3.030045e-02                                           9.611889e+02    3.100305e+01                       9.992214e+06 
2.043360e-01    2.807216e-01    2.425685e-01   1.000000e+01         1.000000e+02         5.471763e+01        1.133635e+01         5.698274e+03         2.909723e+03        2.761101e-02                                           5.548901e+03    7.449095e+01                       9.806298e+06 
2.043360e-01    2.807216e-01    2.430662e-01   1.000000e+02         1.000000e+03         5.167027e+02        1.133635e+01         5.698274e+03         3.419877e+03        1.320376e-02                                           3.781294e+03    6.149223e+01                       7.876912e+06 
2.043360e-01    2.807216e-01    2.470387e-01   1.000000e+03         1.000000e+04         1.547192e+03        1.133635e+01         5.698274e+03         4.523960e+03        4.027967e-03                                           1.989901e+02    1.410638e+01                       5.470560e+05 
2.807216e-01    3.856620e-01    3.331941e-01   4.000000e+00         1.000000e+01         6.999699e+00        1.133635e+01         5.698274e+03         2.855589e+03        1.607964e-02                                           7.597028e+02    2.756271e+01                       9.997792e+06 
2.807216e-01    3.856620e-01    3.332361e-01   1.000000e+01         1.000000e+02         5.480789e+01        1.133635e+01         5.698274e+03         2.893815e+03        1.344252e-02                                           4.385097e+03    6.622007e+01                       9.864397e+06 
2.807216e-01    3.856620e-01    3.337112e-01   1.000000e+02         1.000000e+03         5.272425e+02        1.133635e+01         5.698274e+03         3.273152e+03        6.436599e-03                                           3.228456e+03    5.681950e+01                       8.459717e+06 
2.807216e-01    3.856620e-01    3.380387e-01   1.000000e+03         1.000000e+04         1.870852e+03        1.133635e+01         5.698274e+03         4.327110e+03        1.267883e-03                                           2.290094e+02    1.513306e+01                       1.028698e+06 
3.856620e-01    5.298317e-01    4.577687e-01   4.000000e+00         1.000000e+01         6.998590e+00        1.133635e+01         5.698274e+03         2.854358e+03        1.014218e-02                                           6.785923e+02    2.604981e+01                       9.999888e+06 
3.856620e-01    5.298317e-01    4.577894e-01   1.000000e+01         1.000000e+02         5.486248e+01        1.133635e+01         5.698274e+03         2.881656e+03        7.917418e-03                                           3.963975e+03    6.296011e+01                       9.906126e+06 
3.856620e-01    5.298317e-01    4.582204e-01   1.000000e+02         1.000000e+03         5.342411e+02        1.133635e+01         5.698274e+03         3.161750e+03        3.826248e-03                                           3.211597e+03    5.667095e+01                       8.883535e+06 
3.856620e-01    5.298317e-01    4.634577e-01   1.000000e+03         1.000000e+04         2.316713e+03        1.133635e+01         5.698274e+03         4.185321e+03        5.482647e-04                                           2.884594e+02    1.698409e+01                       1.727012e+06 
5.298317e-01    7.278954e-01    6.288578e-01   4.000000e+00         1.000000e+01         6.999566e+00        1.133635e+01         5.698274e+03         2.854542e+03        6.963917e-03                                           6.746968e+02    2.597493e+01                       1.000000e+07 
5.298317e-01    7.278954e-01    6.289182e-01   1.000000e+01         1.000000e+02         5.488949e+01        1.133635e+01         5.698274e+03         2.872876e+03        5.479438e-03                                           4.424546e+03    6.651726e+01                       9.936902e+06 
5.298317e-01    7.278954e-01    6.293427e-01   1.000000e+02         1.000000e+03         5.389409e+02        1.133635e+01         5.698274e+03         3.077907e+03        2.920329e-03                                           4.563432e+03    6.755318e+01                       9.191545e+06 
5.298317e-01    7.278954e-01    6.358602e-01   1.000000e+03         1.000000e+04         2.932231e+03        1.133635e+01         5.698274e+03         4.080961e+03        4.046401e-04                                           5.758323e+02    2.399651e+01                       2.712557e+06 
7.278954e-01    1.000000e+00    8.639864e-01   4.000000e+00         1.000000e+01         6.999986e+00        1.133635e+01         5.698274e+03         2.854656e+03        2.579135e-03                                           3.576150e+02    1.891071e+01                       1.000000e+07 
7.278954e-01    1.000000e+00    8.640273e-01   1.000000e+01         1.000000e+02         5.491496e+01        1.133635e+01         5.698274e+03         2.866814e+03        2.024182e-03                                           2.548494e+03    5.048261e+01                       9.959222e+06 
7.278954e-01    1.000000e+00    8.644357e-01   1.000000e+02         1.000000e+03         5.421918e+02        1.133635e+01         5.698274e+03         3.017126e+03        1.154099e-03                                           3.217288e+03    5.672114e+01                       9.418105e+06 
7.278954e-01    1.000000e+00    8.727791e-01   1.000000e+03         1.000000e+04         3.772269e+03        1.133635e+01         5.698274e+03         4.002569e+03        1.426943e-04                                           4.759585e+02    2.181647e+01                       4.090051e+06 
