A_index       xlower          xupper         Q2Lower          Q2Upper 
0             0.00036          0.000489         4.0000          10.0000 
1             0.00049          0.000672         4.0000          10.0000 
2             0.00067          0.000924         4.0000          10.0000 
3             0.00092          0.001269         4.0000          10.0000 
4             0.00092          0.001269         10.0000          100.0000 
5             0.00127          0.001743         4.0000          10.0000 
6             0.00127          0.001743         10.0000          100.0000 
7             0.00174          0.002395         4.0000          10.0000 
8             0.00174          0.002395         10.0000          100.0000 
9             0.00240          0.003290         4.0000          10.0000 
10             0.00240          0.003290         10.0000          100.0000 
11             0.00329          0.004520         4.0000          10.0000 
12             0.00329          0.004520         10.0000          100.0000 
13             0.00452          0.006210         4.0000          10.0000 
14             0.00452          0.006210         10.0000          100.0000 
15             0.00621          0.008532         4.0000          10.0000 
16             0.00621          0.008532         10.0000          100.0000 
17             0.00853          0.011721         4.0000          10.0000 
18             0.00853          0.011721         10.0000          100.0000 
19             0.00853          0.011721         100.0000          1000.0000 
20             0.01172          0.016103         4.0000          10.0000 
21             0.01172          0.016103         10.0000          100.0000 
22             0.01172          0.016103         100.0000          1000.0000 
23             0.01610          0.022122         4.0000          10.0000 
24             0.01610          0.022122         10.0000          100.0000 
25             0.01610          0.022122         100.0000          1000.0000 
26             0.02212          0.030392         4.0000          10.0000 
27             0.02212          0.030392         10.0000          100.0000 
28             0.02212          0.030392         100.0000          1000.0000 
29             0.03039          0.041753         4.0000          10.0000 
30             0.03039          0.041753         10.0000          100.0000 
31             0.03039          0.041753         100.0000          1000.0000 
32             0.04175          0.057362         4.0000          10.0000 
33             0.04175          0.057362         10.0000          100.0000 
34             0.04175          0.057362         100.0000          1000.0000 
35             0.05736          0.078805         10.0000          100.0000 
36             0.05736          0.078805         100.0000          1000.0000 
37             0.07880          0.108264         10.0000          100.0000 
38             0.07880          0.108264         100.0000          1000.0000 
39             0.07880          0.108264         1000.0000          10000.0000 
40             0.10826          0.148735         10.0000          100.0000 
41             0.10826          0.148735         100.0000          1000.0000 
42             0.10826          0.148735         1000.0000          10000.0000 
43             0.14874          0.204336         10.0000          100.0000 
44             0.14874          0.204336         100.0000          1000.0000 
45             0.14874          0.204336         1000.0000          10000.0000 
46             0.20434          0.280722         10.0000          100.0000 
47             0.20434          0.280722         100.0000          1000.0000 
48             0.20434          0.280722         1000.0000          10000.0000 
49             0.28072          0.385662         10.0000          100.0000 
50             0.28072          0.385662         100.0000          1000.0000 
51             0.28072          0.385662         1000.0000          10000.0000 
52             0.38566          0.529832         10.0000          100.0000 
53             0.38566          0.529832         100.0000          1000.0000 
54             0.38566          0.529832         1000.0000          10000.0000 
55             0.52983          0.727895         100.0000          1000.0000 
56             0.52983          0.727895         1000.0000          10000.0000 
57             0.72790          1.000000         100.0000          1000.0000 
58             0.72790          1.000000         1000.0000          10000.0000 
59             0.72790          1.000000         10000.0000          100000.0000 
