Experiment = FASERv2 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 200 cm | Total Events = 192029.4
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) / GeV^-2           N_events        N_events_errs = Sqrt[N_events]      MC_Samples 
9.236709e-04    1.268961e-03    1.110079e-03   4.000000e+00         1.000000e+01         6.351583e+00        1.133635e+01         5.698274e+03         4.383162e+03        7.639638e+00                                           1.111961e+01    3.334608e+00                       3.982562e+06 
1.268961e-03    1.743329e-03    1.515982e-03   4.000000e+00         1.000000e+01         6.665328e+00        1.133635e+01         5.698274e+03         4.029424e+03        6.321247e+00                                           2.742159e+01    5.236563e+00                       5.623807e+06 
1.268961e-03    1.743329e-03    1.558394e-03   1.000000e+01         1.000000e+02         1.220827e+01        1.133635e+01         5.698274e+03         4.945773e+03        5.993177e+00                                           3.281724e+01    5.728634e+00                       1.315680e+05 
1.743329e-03    2.395027e-03    2.077396e-03   4.000000e+00         1.000000e+01         6.798763e+00        1.133635e+01         5.698274e+03         3.728422e+03        3.751808e+00                                           4.686680e+01    6.845933e+00                       6.821007e+06 
1.743329e-03    2.395027e-03    2.114059e-03   1.000000e+01         1.000000e+02         1.419495e+01        1.133635e+01         5.698274e+03         4.645584e+03        3.437333e+00                                           7.299241e+01    8.543560e+00                       3.723060e+05 
2.395027e-03    3.290345e-03    2.849662e-03   4.000000e+00         1.000000e+01         6.870005e+00        1.133635e+01         5.698274e+03         3.496701e+03        3.152835e+00                                           9.443376e+01    9.717703e+00                       7.691521e+06 
2.395027e-03    3.290345e-03    2.889242e-03   1.000000e+01         1.000000e+02         1.695764e+01        1.133635e+01         5.698274e+03         4.418896e+03        3.100986e+00                                           1.736506e+02    1.317766e+01                       7.621620e+05 
3.290345e-03    4.520354e-03    3.911838e-03   4.000000e+00         1.000000e+01         6.912164e+00        1.133635e+01         5.698274e+03         3.323829e+03        2.631873e+00                                           1.769237e+02    1.330127e+01                       8.324116e+06 
3.290345e-03    4.520354e-03    3.957929e-03   1.000000e+01         1.000000e+02         2.076473e+01        1.133635e+01         5.698274e+03         4.251711e+03        2.691029e+00                                           3.559368e+02    1.886629e+01                       1.345480e+06 
4.520354e-03    6.210169e-03    5.371734e-03   4.000000e+00         1.000000e+01         6.940010e+00        1.133635e+01         5.698274e+03         3.196163e+03        1.674584e+00                                           2.329892e+02    1.526399e+01                       8.786495e+06 
4.520354e-03    6.210169e-03    5.428159e-03   1.000000e+01         1.000000e+02         2.600874e+01        1.133635e+01         5.698274e+03         4.128907e+03        1.668090e+00                                           4.896793e+02    2.212870e+01                       2.178678e+06 
6.210169e-03    8.531679e-03    7.376966e-03   4.000000e+00         1.000000e+01         6.957116e+00        1.133635e+01         5.698274e+03         3.102220e+03        1.139799e+00                                           3.146449e+02    1.773823e+01                       9.122712e+06 
6.210169e-03    8.531679e-03    7.449667e-03   1.000000e+01         1.000000e+02         3.321988e+01        1.133635e+01         5.698274e+03         4.040848e+03        1.135304e+00                                           6.958841e+02    2.637961e+01                       3.343829e+06 
8.531679e-03    1.172102e-02    1.013257e-02   4.000000e+00         1.000000e+01         6.970171e+00        1.133635e+01         5.698274e+03         3.034253e+03        9.420075e-01                                           4.817382e+02    2.194853e+01                       9.365664e+06 
8.531679e-03    1.172102e-02    1.021419e-02   1.000000e+01         1.000000e+02         4.216748e+01        1.133635e+01         5.698274e+03         3.952557e+03        9.433823e-01                                           1.096745e+03    3.311714e+01                       4.890901e+06 
8.531679e-03    1.172102e-02    1.110907e-02   1.000000e+02         1.000000e+03         1.061505e+02        1.133635e+01         5.698274e+03         5.400116e+03        8.023971e-01                                           6.381244e+01    7.988269e+00                       7.377000e+03 
1.172102e-02    1.610262e-02    1.391772e-02   4.000000e+00         1.000000e+01         6.978131e+00        1.133635e+01         5.698274e+03         2.984183e+03        6.315002e-01                                           5.748858e+02    2.397678e+01                       9.545038e+06 
1.172102e-02    1.610262e-02    1.398102e-02   1.000000e+01         1.000000e+02         4.768078e+01        1.133635e+01         5.698274e+03         3.763249e+03        6.475799e-01                                           1.442108e+03    3.797509e+01                       6.283373e+06 
1.172102e-02    1.610262e-02    1.446822e-02   1.000000e+02         1.000000e+03         1.182508e+02        1.133635e+01         5.698274e+03         5.037090e+03        5.369460e-01                                           1.992178e+02    1.411445e+01                       9.221400e+04 
1.610262e-02    2.212216e-02    1.911832e-02   4.000000e+00         1.000000e+01         6.985991e+00        1.133635e+01         5.698274e+03         2.948189e+03        3.705576e-01                                           5.983691e+02    2.446158e+01                       9.673641e+06 
1.610262e-02    2.212216e-02    1.917175e-02   1.000000e+01         1.000000e+02         5.043265e+01        1.133635e+01         5.698274e+03         3.555039e+03        3.863538e-01                                           1.765958e+03    4.202331e+01                       7.301716e+06 
1.610262e-02    2.212216e-02    1.956783e-02   1.000000e+02         1.000000e+03         1.364388e+02        1.133635e+01         5.698274e+03         4.714090e+03        3.295253e-01                                           5.328294e+02    2.308310e+01                       2.985300e+05 
2.212216e-02    3.039195e-02    2.626238e-02   4.000000e+00         1.000000e+01         6.988060e+00        1.133635e+01         5.698274e+03         2.919725e+03        3.072320e-01                                           8.281132e+02    2.877696e+01                       9.768387e+06 
2.212216e-02    3.039195e-02    2.631090e-02   1.000000e+01         1.000000e+02         5.197164e+01        1.133635e+01         5.698274e+03         3.379549e+03        3.334048e-01                                           2.950199e+03    5.431574e+01                       8.039712e+06 
2.212216e-02    3.039195e-02    2.671140e-02   1.000000e+02         1.000000e+03         1.618052e+02        1.133635e+01         5.698274e+03         4.469009e+03        2.758521e-01                                           1.360783e+03    3.688880e+01                       6.495040e+05 
3.039195e-02    4.175319e-02    3.607875e-02   4.000000e+00         1.000000e+01         6.992277e+00        1.133635e+01         5.698274e+03         2.900888e+03        2.152942e-01                                           9.508108e+02    3.083522e+01                       9.836576e+06 
3.039195e-02    4.175319e-02    3.612545e-02   1.000000e+01         1.000000e+02         5.293865e+01        1.133635e+01         5.698274e+03         3.241930e+03        2.380635e-01                                           4.048047e+03    6.362426e+01                       8.579703e+06 
3.039195e-02    4.175319e-02    3.657536e-02   1.000000e+02         1.000000e+03         1.970026e+02        1.133635e+01         5.698274e+03         4.289124e+03        1.905203e-01                                           2.434426e+03    4.933990e+01                       1.179794e+06 
4.175319e-02    5.736153e-02    4.956460e-02   4.000000e+00         1.000000e+01         6.993944e+00        1.133635e+01         5.698274e+03         2.887206e+03        1.127756e-01                                           8.544326e+02    2.923068e+01                       9.886344e+06 
4.175319e-02    5.736153e-02    4.960765e-02   1.000000e+01         1.000000e+02         5.355702e+01        1.133635e+01         5.698274e+03         3.139155e+03        1.197766e-01                                           4.207935e+03    6.486860e+01                       8.969248e+06 
4.175319e-02    5.736153e-02    5.015312e-02   1.000000e+02         1.000000e+03         2.454283e+02        1.133635e+01         5.698274e+03         4.156853e+03        9.588719e-02                                           3.072491e+03    5.543005e+01                       1.940390e+06 
5.736153e-02    7.880463e-02    6.809156e-02   4.000000e+00         1.000000e+01         6.996288e+00        1.133635e+01         5.698274e+03         2.877451e+03        9.427055e-02                                           1.058119e+03    3.252873e+01                       9.922449e+06 
5.736153e-02    7.880463e-02    6.813142e-02   1.000000e+01         1.000000e+02         5.397429e+01        1.133635e+01         5.698274e+03         3.061689e+03        1.014061e-01                                           6.102878e+03    7.812092e+01                       9.256997e+06 
5.736153e-02    7.880463e-02    6.882435e-02   1.000000e+02         1.000000e+03         3.118639e+02        1.133635e+01         5.698274e+03         4.059127e+03        7.894930e-02                                           5.097246e+03    7.139500e+01                       3.014367e+06 
7.880463e-02    1.082637e-01    9.354070e-02   4.000000e+00         1.000000e+01         6.997626e+00        1.133635e+01         5.698274e+03         2.869692e+03        6.837763e-02                                           1.168424e+03    3.418222e+01                       9.949153e+06 
7.880463e-02    1.082637e-01    9.358337e-02   1.000000e+01         1.000000e+02         5.427480e+01        1.133635e+01         5.698274e+03         3.005457e+03        7.303447e-02                                           7.703385e+03    8.776893e+01                       9.464175e+06 
7.880463e-02    1.082637e-01    9.443069e-02   1.000000e+02         1.000000e+03         4.003778e+02        1.133635e+01         5.698274e+03         3.982183e+03        5.495416e-02                                           6.881348e+03    8.295389e+01                       4.486922e+06 
7.880463e-02    1.082637e-01    1.045242e-01   1.000000e+03         1.000000e+04         1.038748e+03        1.133635e+01         5.698274e+03         5.499878e+03        3.587409e-02                                           1.774912e+02    1.332258e+01                       2.076000e+03 
1.082637e-01    1.487352e-01    1.285019e-01   4.000000e+00         1.000000e+01         6.997732e+00        1.133635e+01         5.698274e+03         2.863129e+03        3.245965e-02                                           9.559599e+02    3.091860e+01                       9.968484e+06 
1.082637e-01    1.487352e-01    1.285423e-01   1.000000e+01         1.000000e+02         5.447838e+01        1.133635e+01         5.698274e+03         2.963041e+03        3.154497e-02                                           6.837836e+03    8.269121e+01                       9.615082e+06 
1.082637e-01    1.487352e-01    1.292232e-01   1.000000e+02         1.000000e+03         4.668060e+02        1.133635e+01         5.698274e+03         3.817768e+03        2.292412e-02                                           6.753989e+03    8.218266e+01                       5.972932e+06 
1.082637e-01    1.487352e-01    1.347509e-01   1.000000e+03         1.000000e+04         1.146847e+03        1.133635e+01         5.698274e+03         5.124661e+03        1.777765e-02                                           4.980076e+02    2.231608e+01                       5.983600e+04 
1.487352e-01    2.043360e-01    1.765389e-01   4.000000e+00         1.000000e+01         6.998390e+00        1.133635e+01         5.698274e+03         2.859705e+03        2.632990e-02                                           1.008025e+03    3.174942e+01                       9.982317e+06 
1.487352e-01    2.043360e-01    1.765806e-01   1.000000e+01         1.000000e+02         5.462743e+01        1.133635e+01         5.698274e+03         2.932215e+03        2.545627e-02                                           7.983886e+03    8.935259e+01                       9.724743e+06 
1.487352e-01    2.043360e-01    1.771431e-01   1.000000e+02         1.000000e+03         4.988128e+02        1.133635e+01         5.698274e+03         3.604424e+03        1.898374e-02                                           9.611646e+03    9.803900e+01                       7.074331e+06 
1.487352e-01    2.043360e-01    1.812754e-01   1.000000e+03         1.000000e+04         1.312228e+03        1.133635e+01         5.698274e+03         4.785477e+03        1.403405e-02                                           1.740411e+03    4.171823e+01                       2.334920e+05 
2.043360e-01    2.807216e-01    2.425297e-01   4.000000e+00         1.000000e+01         6.998790e+00        1.133635e+01         5.698274e+03         2.857205e+03        1.869559e-02                                           1.029227e+03    3.208156e+01                       9.992183e+06 
