Experiment = FASERv | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 100 cm | Total Events = 2984.3
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) / GeV^-2           N_events        N_events_errs = Sqrt[N_events]      MC_Samples 
6.210169e-03    8.531679e-03    7.449550e-03   1.000000e+01         1.000000e+02         3.320666e+01        1.133635e+01         5.698274e+03         4.039278e+03        1.135266e+00                                           1.212700e+01    3.482385e+00                       3.344462e+06 
8.531679e-03    1.172102e-02    1.021388e-02   1.000000e+01         1.000000e+02         4.214806e+01        1.133635e+01         5.698274e+03         3.951518e+03        9.434206e-01                                           1.799330e+01    4.241851e+00                       4.889494e+06 
1.172102e-02    1.610262e-02    1.398051e-02   1.000000e+01         1.000000e+02         4.770424e+01        1.133635e+01         5.698274e+03         3.763992e+03        6.475911e-01                                           2.264713e+01    4.758900e+00                       6.286266e+06 
1.610262e-02    2.212216e-02    1.917176e-02   1.000000e+01         1.000000e+02         5.044417e+01        1.133635e+01         5.698274e+03         3.555805e+03        3.863606e-01                                           2.682560e+01    5.179343e+00                       7.300760e+06 
1.610262e-02    2.212216e-02    1.956995e-02   1.000000e+02         1.000000e+03         1.363922e+02        1.133635e+01         5.698274e+03         4.713761e+03        3.295484e-01                                           1.389098e+01    3.727061e+00                       2.997830e+05 
2.212216e-02    3.039195e-02    2.626270e-02   4.000000e+00         1.000000e+01         6.988271e+00        1.133635e+01         5.698274e+03         2.920775e+03        3.072339e-01                                           1.164451e+01    3.412405e+00                       9.767741e+06 
2.212216e-02    3.039195e-02    2.631084e-02   1.000000e+01         1.000000e+02         5.198402e+01        1.133635e+01         5.698274e+03         3.379760e+03        3.333990e-01                                           4.357147e+01    6.600869e+00                       8.039702e+06 
2.212216e-02    3.039195e-02    2.671185e-02   1.000000e+02         1.000000e+03         1.618483e+02        1.133635e+01         5.698274e+03         4.468614e+03        2.758138e-01                                           3.294735e+01    5.739978e+00                       6.488810e+05 
3.039195e-02    4.175319e-02    3.607801e-02   4.000000e+00         1.000000e+01         6.991330e+00        1.133635e+01         5.698274e+03         2.901653e+03        2.153003e-01                                           1.341280e+01    3.662349e+00                       9.836385e+06 
3.039195e-02    4.175319e-02    3.612306e-02   1.000000e+01         1.000000e+02         5.295012e+01        1.133635e+01         5.698274e+03         3.243408e+03        2.381018e-01                                           5.815820e+01    7.626152e+00                       8.578486e+06 
3.039195e-02    4.175319e-02    3.657526e-02   1.000000e+02         1.000000e+03         1.970383e+02        1.133635e+01         5.698274e+03         4.289526e+03        1.905156e-01                                           5.225139e+01    7.228512e+00                       1.179199e+06 
